id,type,brand,name,country,price,caliber,description
1,smooth-semi-auto,Fabarm,Fabarm L4S Initial Hunter Maxi-6 76,ИТАЛИЯ,67900,12,
2,smooth-semi-auto,Fabarm,Fabarm L4S Initial Hunter Maxi-8 76,ИТАЛИЯ,71050,12,
3,smooth-semi-auto,Fabarm,Fabarm L4S Grey Hunter Maxi 76,ИТАЛИЯ,98350,12,
4,smooth-semi-auto,Fabarm,Fabarm P.S.S. 10 Practical Muzzle Brake,ИТАЛИЯ,113050,12,
5,smooth-semi-auto,Stoeger,Stoeger M3000 PEREGRINE CAMO MAX5 кал.12/76,ТУРЦИЯ,42505,12,
6,smooth-semi-auto,Stoeger,Stoeger M3000 PEREGRINE SYNTHETIC кал.12/76,ТУРЦИЯ,38135,12,
7,smooth-semi-auto,Stoeger,Stoeger M3000 PEREGRINE WOOD кал.12/76,ТУРЦИЯ,41495,12,
8,smooth-semi-auto,Benelli,Benelli Raffaello 50° Anniversary 12/76 76,ИТАЛИЯ,257880,12,
9,smooth-semi-auto,Benelli,Benelli M2 SP 66,ИТАЛИЯ,138265,12,
10,smooth-semi-auto,Benelli,Benelli Raffaello 50° Anniversary 20/76 71,ИТАЛИЯ,257880,20,
11,smooth-semi-auto,Benelli,Benelli Raffaello Ethos 20 71,ИТАЛИЯ,181610,20,
12,smooth-semi-auto,Armsan,Armsan A612 12/76 76 MC Wood Titanium,ТУРЦИЯ,39950,12,
13,smooth-semi-auto,Benelli,Benelli Vinci Tactical ,ИТАЛИЯ,154055,,
14,smooth-semi-auto,Benelli,Benelli Montefeltro Synthetic New 12 76,ИТАЛИЯ,99120,,
15,smooth-semi-auto,Browning,Browning Maxus Sporting Carbon Fibre 12/76 76 уценка,БЕЛЬГИЯ,90306,12,
16,smooth-semi-auto,Beretta,"Beretta  A400 Xplor Novator 12/76, 76 OCHP ",ИТАЛИЯ,105840,12,
17,smooth-semi-auto,Beretta,"Beretta  A400 Xplor Action 12/76, 76 OCHP kick-off LH",ИТАЛИЯ,140950,12,
18,smooth-semi-auto,Beretta,"Beretta  A400 Xplor Action 12/76, 76 OCHP",ИТАЛИЯ,132385,12,
19,smooth-semi-auto,Beretta,"Beretta  A400 Xplor Action 12/76, 76 OCHP LH",ИТАЛИЯ,132385,12,
20,smooth-semi-auto,Benelli,Benelli Colombo  71,ИТАЛИЯ,142630,12,
21,smooth-semi-auto,Browning,Browning A5 Standart 12/76 76 уценка,БЕЛЬГИЯ,93360,12,
22,smooth-semi-auto,Winchester,Winchester Super X3 Black Shadow Composite 12/76 71,США,108500,12,
23,smooth-semi-auto,Beretta,"Beretta  A400 Lite 12/76, 71 OCHP gun pod2",ИТАЛИЯ,126505,12,
24,smooth-semi-auto,Stoeger,Stoeger 3000A Camo MAX-5 кал.12/76,ТУРЦИЯ,43175,12,
25,smooth-semi-auto,Stoeger,Stoeger 3000A SYNTHETIC кал.12/76,ТУРЦИЯ,36455,12,
26,smooth-semi-auto,Stoeger,Stoeger 3000A WOOD кал.12/76,ТУРЦИЯ,39815,12,
27,smooth-semi-auto,Benelli,Benelli Executive Type 1 76,ИТАЛИЯ,518112,12,
28,smooth-semi-auto,Benelli,Benelli Executive Type 2 76,ИТАЛИЯ,580340,12,
29,smooth-semi-auto,Benelli,Benelli Executive Type 3 76,ИТАЛИЯ,673880,12,
30,smooth-semi-auto,Franchi,Franchi Affinity One 12/76 76 ,ИТАЛИЯ,64510,12,
31,smooth-semi-auto,Benelli,Benelli Raffaello 2013 Deluxe Combo 12  76/55,ИТАЛИЯ,250490,,
32,smooth-semi-auto,Benelli,Benelli Vinci Black Combo 61/76,ИТАЛИЯ,206810,,
33,smooth-semi-auto,Benelli,Benelli Montefeltro Synthetic 12 71,ИТАЛИЯ,99120,,
34,smooth-semi-auto,Benelli,Benelli Raffaello 2013 Deluxe 12 76,ИТАЛИЯ,210000,,
35,smooth-semi-auto,Armsan,Armsan A620 20/76 76 MC Camo Realtree Max4,ТУРЦИЯ,42340,20,
36,smooth-semi-auto,Armsan,Armsan A612 12/76 76 MC Fonex,ТУРЦИЯ,41110,12,
37,smooth-semi-auto,Armsan,Armsan A620 20/76 76 MC Wood Black,ТУРЦИЯ,40010,20,
38,smooth-semi-auto,Browning,Browning Maxus Camo Moinf 12/76 76 ,БЕЛЬГИЯ,134270,12,
39,smooth-semi-auto,Browning,Browning A5 Composite 12/76 71,БЕЛЬГИЯ,131380,12,
40,smooth-semi-auto,Browning,Browning A5 Camo Infinity 12/76 76,БЕЛЬГИЯ,134760,12,
41,smooth-semi-auto,Stoeger,Stoeger 3000A Camo Max-4 76,ТУРЦИЯ,43175,12,
42,smooth-semi-auto,Armsan,Armsan A612 12/76 76 MC Synthetic Carbon,ТУРЦИЯ,41110,12,
43,smooth-semi-auto,Winchester,Winchester Super X3 Raniero Testa 12/76 76,США,135240,12,
44,smooth-semi-auto,Franchi,Franchi Intensity 12/89 76,ИТАЛИЯ,84670,12,
45,smooth-semi-auto,Franchi,Franchi Affinity Synt Combo 12/76 76+61,ИТАЛИЯ,97195,12,
46,smooth-semi-auto,Benelli,Benelli Montefeltro 20 71,ИТАЛИЯ,133055,20,
47,smooth-semi-auto,Beretta,Beretta A400 Xtreme Optifade 12/89 76 OC kick-off,ИТАЛИЯ,169850,12,
48,smooth-semi-auto,Beretta,"Beretta  A400 Xplor Action 20/76, 71 OCHP",ИТАЛИЯ,127175,20,
49,smooth-semi-auto,Armsan,Armsan A612 12/76 76 MC Wood Silver,ТУРЦИЯ,41840,12,
50,smooth-semi-auto,Armsan,Armsan A612 12/76 76/61 MC wood Combo,ТУРЦИЯ,58490,12,
51,smooth-semi-auto,Browning,Browning Maxus Composite 12/76 76 ,БЕЛЬГИЯ,131700,12,
52,smooth-semi-auto,Browning,Browning Maxus Hunter Gr 2 12/76 76,БЕЛЬГИЯ,143130,12,
53,smooth-semi-auto,Armsan,Armsan A612 12/76 76 MC Synthetic,ТУРЦИЯ,35540,12,
54,smooth-semi-auto,Armsan,Armsan A612 12/76 76 MC Camo Realtree Max4,ТУРЦИЯ,41060,12,
55,smooth-semi-auto,Armsan,Armsan A612 12/76 76 MC Wood Black,ТУРЦИЯ,38380,12,
56,smooth-semi-auto,Benelli,Benelli Vinci Black 76,ИТАЛИЯ,151705,12,
57,smooth-semi-auto,Benelli,Benelli SBE 2 Camo Max-4 12/89,ИТАЛИЯ,175730,12,
58,smooth-semi-auto,Browning,Browning A5 One 12/76 66,БЕЛЬГИЯ,116890,12,
59,smooth-semi-auto,Browning,Browning A5 One 12/76 71,БЕЛЬГИЯ,116890,12,
60,smooth-semi-auto,Stoeger,Stoeger 2000A Standart Semi 76,ТУРЦИЯ,26250,12,
61,smooth-semi-auto,Phenoma,Phenoma 12/76 76 Synthetic,ТУРЦИЯ,45450,12,
62,smooth-semi-auto,Armsan,Armsan A612 12/76 76 MC EZ (Synthetic),ТУРЦИЯ,28880,12,
63,smooth-semi-auto,Browning,Browning A5 One 12/76 76,БЕЛЬГИЯ,116890,12,
64,smooth-semi-auto,Browning,Browning A5 Camo Max4 12/76 71,БЕЛЬГИЯ,134760,12,
65,smooth-semi-auto,Beretta,"Beretta 1301 12/76, 61 OCHP",ИТАЛИЯ,103320,12,
66,smooth-semi-auto,Armsan,Armsan A612 12/76 76 MC Wood Black LH,ТУРЦИЯ,43260,12,
67,smooth-semi-auto,Phenoma,Phenoma 12/76 61 Grey Laminate Cantilever,ТУРЦИЯ,60060,12,
68,smooth-semi-auto,Benelli,Benelli Vinci Supersport 76,ИТАЛИЯ,184465,12,
69,smooth-semi-auto,Beretta,Beretta Bellmonte I Wood 76 ,ИТАЛИЯ,71160,12,
70,smooth-semi-auto,Beretta,Beretta Bellmonte I Synth 76,ИТАЛИЯ,65700,12,
71,smooth-semi-auto,Fabarm,Fabarm XLR 5 Composite 76,ИТАЛИЯ,85400,12,
72,smooth-semi-auto,Benelli,Benelli Comfort Cordoba 20 71,ИТАЛИЯ,204625,20,
73,smooth-semi-auto,Fabarm,Fabarm XLR 5 Composite Combo 76/90,ИТАЛИЯ,120400,12,
74,smooth-semi-auto,Fabarm,Fabarm XLR 5 Bulrush 76 ,ИТАЛИЯ,96250,12,
